sample_type,study_observed_until_days,age_at_death_days,cause_of_death
baseline_healthy,400,228,nutrients_death
baseline_healthy,400,265,nutrients_death
baseline_healthy,400,258,nutrients_death
treated_healthy,400,250,nutrients_death
treated_healthy,400,262,glucose_death
treated_healthy,400,245,nutrients_death
