condition,protein,morphology,oxygen_levels,glucose_levels,morphology_death,glucose_death,oxygen_death,H2O_levels,NH4Cl_levels,KH2PO4_levels,MgSO4_levels,NaCl_levels,CaCl2_levels,FeSO4_levels,ZnCl2_levels,nutrients_death,toxin_in_blood,toxin_death
baseline,,0.9935840986286333,6886.5712890625,53.485748291015625,0.0,1.0,0.0,44.574501037597656,61.431251525878906,45.46799850463867,52.01900100708008,60.24150085449219,2.9312500953674316,18.102500915527344,58.575748443603516,1.0,0.0,0.0
control,,0.9935840986286333,6833.8779296875,53.55550003051758,0.0,1.0,0.0,45.91474914550781,62.11600112915039,46.01250076293945,52.608001708984375,61.791500091552734,2.507499933242798,18.190500259399414,58.98149871826172,1.0,0.0,0.0
perturb,protein_1,0.9935840986286333,7130.833984375,77.27874755859375,0.0,1.0,0.0,69.67949676513672,86.5114974975586,69.55474853515625,77.55950164794922,84.51699829101562,22.589750289916992,40.238250732421875,83.77899932861328,2.0,0.0,0.0
perturb,protein_2,0.9935840986286333,7016.5078125,55.11524963378906,0.0,1.0,0.0,47.80350112915039,63.2547492980957,47.53974914550781,54.540748596191406,61.68199920654297,3.3257501125335693,18.76275062561035,60.54724884033203,1.0,0.0,0.0
perturb,protein_3,0.9935840986286333,6985.8916015625,55.771751403808594,0.0,1.0,0.0,48.860748291015625,64.739501953125,48.834251403808594,55.53950119018555,62.68574905395508,3.373500108718872,20.112499237060547,61.1662483215332,1.0,0.0,0.0
perturb,protein_4,0.9935840986286333,7093.44091796875,71.53575134277344,0.0,1.0,0.0,68.19049835205078,84.84400177001953,71.36624908447266,74.06175231933594,86.44725036621094,14.887749671936035,33.833248138427734,82.56375122070312,2.0,0.0,0.0
perturb,protein_5,0.9935840986286333,6836.15771484375,82.88349914550781,0.0,1.0,0.0,79.07424926757812,95.80425262451172,83.41500091552734,84.19149780273438,96.83374786376953,28.277250289916992,50.480751037597656,93.25749969482422,2.0,0.0,0.0
perturb,protein_6,0.9935840986286333,7089.72216796875,116.52275085449219,0.0,1.0,0.0,107.895751953125,128.04100036621094,111.24400329589844,117.74075317382812,124.41175079345703,54.049251556396484,75.5250015258789,123.48750305175781,3.0,0.0,0.0
perturb,protein_7,0.9935840986286333,7020.0390625,102.40249633789062,0.0,1.0,0.0,89.86750030517578,113.99674987792969,96.86250305175781,100.39550018310547,110.59525299072266,44.007999420166016,63.865501403808594,109.05950164794922,3.0,0.0,0.0
perturb,protein_8,0.9935840986286333,6795.5341796875,80.42524719238281,0.0,1.0,0.0,71.19425201416016,86.97624969482422,71.4852523803711,78.10624694824219,86.70349884033203,27.222749710083008,44.416751861572266,84.81600189208984,2.0,0.0,0.0
