run_id,sample_id,assay,model,replicate,seed,study_ran_for_days,death_occurred_on_day,death_measurement,timecourse_filename,timecourse_relpath,timecourse_file_id,timecourse_url
94f6ae42f4524ffd8ac1dba5bc671b29,cancer_r0_94f6ae42f452,Characterization experiment,cancer,0,1,220,37,morphology_death,cancer_r0_94f6ae42f452_timecourse.csv,replicates/cancer_r0_94f6ae42f452_timecourse.csv,564889179f63,/api/omics/file?run_id=94f6ae42f4524ffd8ac1dba5bc671b29&name=replicates/cancer_r0_94f6ae42f452_timecourse.csv
94f6ae42f4524ffd8ac1dba5bc671b29,cancer_r1_94f6ae42f452,Characterization experiment,cancer,1,98,220,35,morphology_death,cancer_r1_94f6ae42f452_timecourse.csv,replicates/cancer_r1_94f6ae42f452_timecourse.csv,a00996f874d7,/api/omics/file?run_id=94f6ae42f4524ffd8ac1dba5bc671b29&name=replicates/cancer_r1_94f6ae42f452_timecourse.csv
94f6ae42f4524ffd8ac1dba5bc671b29,cancer_r2_94f6ae42f452,Characterization experiment,cancer,2,195,220,32,morphology_death,cancer_r2_94f6ae42f452_timecourse.csv,replicates/cancer_r2_94f6ae42f452_timecourse.csv,9c51fb99772f,/api/omics/file?run_id=94f6ae42f4524ffd8ac1dba5bc671b29&name=replicates/cancer_r2_94f6ae42f452_timecourse.csv
