run_id,sample_id,assay,model,replicate,seed,study_ran_for_days,death_occurred_on_day,death_measurement,timecourse_filename,timecourse_relpath,timecourse_file_id,timecourse_url
a928fd500f3a45cc8d980c3caafcf9cc,cancer_r0_a928fd500f3a,Characterization experiment,cancer,0,1,200,32,morphology_death,cancer_r0_a928fd500f3a_timecourse.csv,replicates/cancer_r0_a928fd500f3a_timecourse.csv,d77bc7456e5f,/api/omics/file?run_id=a928fd500f3a45cc8d980c3caafcf9cc&name=replicates/cancer_r0_a928fd500f3a_timecourse.csv
a928fd500f3a45cc8d980c3caafcf9cc,cancer_r1_a928fd500f3a,Characterization experiment,cancer,1,98,200,29,morphology_death,cancer_r1_a928fd500f3a_timecourse.csv,replicates/cancer_r1_a928fd500f3a_timecourse.csv,c3e5e40b3fec,/api/omics/file?run_id=a928fd500f3a45cc8d980c3caafcf9cc&name=replicates/cancer_r1_a928fd500f3a_timecourse.csv
a928fd500f3a45cc8d980c3caafcf9cc,cancer_r2_a928fd500f3a,Characterization experiment,cancer,2,195,200,32,morphology_death,cancer_r2_a928fd500f3a_timecourse.csv,replicates/cancer_r2_a928fd500f3a_timecourse.csv,533290f44470,/api/omics/file?run_id=a928fd500f3a45cc8d980c3caafcf9cc&name=replicates/cancer_r2_a928fd500f3a_timecourse.csv
