condition,protein,morphology,oxygen_levels,glucose_levels,morphology_death,glucose_death,oxygen_death,H2O_levels,NH4Cl_levels,KH2PO4_levels,MgSO4_levels,NaCl_levels,CaCl2_levels,FeSO4_levels,ZnCl2_levels,nutrients_death,toxin_in_blood,toxin_death
baseline,,0.9935840986286333,5179.4501953125,104.2030029296875,0.0,1.0,0.0,104.5062484741211,116.70950317382812,110.54924774169922,105.60724639892578,111.66925048828125,66.8167495727539,96.27549743652344,109.1969985961914,3.0,0.0,0.0
control,,0.9935840986286333,5155.79345703125,58.07099914550781,0.0,1.0,0.0,60.20949935913086,71.16200256347656,64.59600067138672,60.12825012207031,67.42400360107422,27.417749404907227,50.36425018310547,63.83700180053711,1.0,0.0,0.0
perturb,protein_1,0.9935840986286333,5248.2998046875,77.51799774169922,0.0,1.0,0.0,79.28624725341797,91.58899688720703,84.43025207519531,78.99324798583984,87.4312515258789,46.095001220703125,69.31999969482422,83.64749908447266,3.0,0.0,0.0
perturb,protein_2,0.9935840986286333,5250.31689453125,64.11675262451172,0.0,1.0,0.0,64.90499877929688,76.36325073242188,69.76225280761719,64.81500244140625,72.49974822998047,29.540250778198242,55.01100158691406,68.7542495727539,2.0,0.0,0.0
perturb,protein_3,0.9935840986286333,5286.39453125,60.429500579833984,0.0,1.0,0.0,61.209251403808594,73.24150085449219,64.88500213623047,61.81224822998047,69.60375213623047,27.281999588012695,51.64025115966797,66.61125183105469,1.0,0.0,0.0
perturb,protein_4,0.9935840986286333,5198.47412109375,55.39875030517578,0.0,1.0,0.0,56.735748291015625,67.26000213623047,60.42850112915039,57.06999969482422,63.46200180053711,23.839250564575195,46.98249816894531,60.93075180053711,1.0,0.0,0.0
perturb,protein_5,0.9935840986286333,5227.43115234375,55.87474822998047,0.0,1.0,0.0,57.60625076293945,66.96150207519531,60.08974838256836,56.50975036621094,63.159000396728516,24.074499130249023,46.67100143432617,59.99974822998047,1.0,0.0,0.0
perturb,protein_6,0.9935840986286333,5279.09521484375,68.61900329589844,0.0,1.0,0.0,67.59700012207031,74.46624755859375,66.9677505493164,66.87550354003906,70.98999786376953,26.39699935913086,53.908748626708984,69.05699920654297,2.0,0.0,0.0
perturb,protein_7,0.9935840986286333,5247.33544921875,55.79349899291992,0.0,1.0,0.0,56.830501556396484,69.33924865722656,62.316001892089844,57.18925094604492,64.94450378417969,24.357500076293945,46.94675064086914,61.85874938964844,1.0,0.0,0.0
perturb,protein_8,0.9935840986286333,5201.91259765625,72.3594970703125,0.0,1.0,0.0,75.66000366210938,86.5260009765625,84.16725158691406,74.06649780273438,82.45349884033203,44.208499908447266,65.2647476196289,80.63099670410156,3.0,0.0,0.0
perturb,protein_9,0.9935840986286333,5184.2451171875,75.59574890136719,0.0,1.0,0.0,76.62625122070312,87.55774688720703,80.03099822998047,76.52950286865234,84.08899688720703,43.42224884033203,66.92424774169922,80.46375274658203,3.0,0.0,0.0
perturb,protein_10,0.9935840986286333,5161.86279296875,52.954750061035156,0.0,1.0,0.0,54.21725082397461,64.91075134277344,58.2135009765625,54.45375061035156,60.92150115966797,22.399499893188477,44.236000061035156,57.97600173950195,1.0,0.0,0.0
perturb,protein_11,0.9935840986286333,5216.76123046875,79.72699737548828,0.0,1.0,0.0,81.8489990234375,92.31649780273438,87.22000122070312,82.0772476196289,88.86174774169922,45.925498962402344,72.24224853515625,85.05024719238281,3.0,0.0,0.0
perturb,protein_12,0.9935840986286333,5271.64794921875,59.72774887084961,0.0,1.0,0.0,62.45624923706055,73.12449645996094,66.59124755859375,62.27199935913086,68.27324676513672,25.604249954223633,49.270748138427734,65.5512466430664,2.0,0.0,0.0
perturb,protein_13,0.9935840986286333,5259.974609375,75.49175262451172,0.0,1.0,0.0,75.19750213623047,80.80225372314453,79.92475128173828,77.78074645996094,81.0145034790039,31.274999618530273,65.48274993896484,77.76000213623047,3.0,0.0,0.0
perturb,protein_14,0.9935840986286333,5295.60009765625,68.47975158691406,0.0,1.0,0.0,66.76625061035156,79.61174774169922,72.95700073242188,68.95024871826172,75.34049987792969,29.477249145507812,56.496498107910156,73.77974700927734,2.0,0.0,0.0
