condition,protein,morphology,oxygen_levels,glucose_levels,morphology_death,glucose_death,oxygen_death,H2O_levels,NH4Cl_levels,KH2PO4_levels,MgSO4_levels,NaCl_levels,CaCl2_levels,FeSO4_levels,ZnCl2_levels,nutrients_death,toxin_in_blood,toxin_death
baseline,,0.9935840986286333,5206.0009765625,84.29724884033203,0.0,1.0,0.0,88.07975006103516,94.47274780273438,84.90374755859375,87.37300109863281,92.3010025024414,46.417999267578125,72.5427474975586,87.39375305175781,3.0,0.0,0.0
control,,0.9935840986286333,5172.67919921875,68.34324645996094,0.0,1.0,0.0,69.34249877929688,80.13200378417969,72.97174835205078,69.6927490234375,76.4885025024414,36.88249969482422,59.144248962402344,72.50199890136719,2.0,0.0,0.0
perturb,protein_1,0.9935840986286333,5229.3017578125,57.00225067138672,0.0,1.0,0.0,57.98775100708008,69.80899810791016,61.86225128173828,58.4422492980957,65.88574981689453,25.197250366210938,48.10449981689453,62.28575134277344,1.0,0.0,0.0
perturb,protein_2,0.9935840986286333,5212.919921875,75.65750122070312,0.0,1.0,0.0,77.62000274658203,86.85199737548828,79.53825378417969,77.06649780273438,83.5530014038086,43.47174835205078,67.36199951171875,80.73574829101562,3.0,0.0,0.0
perturb,protein_3,0.9935840986286333,5246.8017578125,66.73774719238281,0.0,1.0,0.0,67.4832534790039,80.36599731445312,73.69075012207031,68.1727523803711,75.9887466430664,34.80575180053711,57.645999908447266,71.73049926757812,2.0,0.0,0.0
perturb,protein_4,0.9935840986286333,5284.3388671875,99.01399993896484,0.0,1.0,0.0,100.62825012207031,112.58350372314453,104.64424896240234,101.30850219726562,109.05024719238281,63.32725143432617,89.80274963378906,104.47274780273438,3.0,0.0,0.0
perturb,protein_5,0.9935840986286333,5264.927734375,72.09324645996094,0.0,1.0,0.0,73.39324951171875,84.20800018310547,73.98999786376953,72.65599822998047,79.2302474975586,33.265750885009766,61.74399948120117,75.17549896240234,2.0,0.0,0.0
perturb,protein_6,0.9935840986286333,5244.5,56.51599884033203,0.0,1.0,0.0,57.78350067138672,69.76799774169922,61.90250015258789,58.42599868774414,65.0792465209961,25.657499313354492,48.15625,62.172000885009766,1.0,0.0,0.0
perturb,protein_7,0.9935840986286333,5168.97412109375,59.26449966430664,0.0,1.0,0.0,60.56475067138672,70.38224792480469,62.91925048828125,60.597251892089844,67.02674865722656,27.21649932861328,50.460750579833984,63.557498931884766,1.0,0.0,0.0
perturb,protein_8,0.9935840986286333,5211.3837890625,66.74349975585938,0.0,1.0,0.0,66.18599700927734,77.41400146484375,69.65699768066406,66.4542465209961,73.5374984741211,33.18724822998047,56.19499969482422,71.02799987792969,2.0,0.0,0.0
perturb,protein_9,0.9935840986286333,5305.716796875,55.72174835205078,0.0,1.0,0.0,57.18149948120117,68.66000366210938,60.99850082397461,57.796749114990234,65.61250305175781,24.453750610351562,47.19075012207031,62.23749923706055,1.0,0.0,0.0
perturb,protein_10,0.9935840986286333,5255.302734375,55.14250183105469,0.0,1.0,0.0,56.68775177001953,68.36325073242188,59.895999908447266,56.375999450683594,64.53925323486328,24.182249069213867,46.85124969482422,60.57775115966797,1.0,0.0,0.0
perturb,protein_11,0.9935840986286333,5233.7451171875,72.19075012207031,0.0,1.0,0.0,74.4489974975586,86.08699798583984,79.15374755859375,74.78925323486328,82.27574920654297,41.31475067138672,64.26425170898438,78.59200286865234,3.0,0.0,0.0
perturb,protein_12,0.9935840986286333,5310.18408203125,57.26974868774414,0.0,1.0,0.0,59.07025146484375,71.50975036621094,64.06600189208984,59.86050033569336,67.26875305175781,26.38825035095215,48.584999084472656,63.83399963378906,1.0,0.0,0.0
perturb,protein_13,0.9935840986286333,5176.76318359375,75.00650024414062,0.0,1.0,0.0,75.06849670410156,84.64424896240234,80.41075134277344,75.59549713134766,82.48374938964844,41.90425109863281,62.9739990234375,79.73774719238281,3.0,0.0,0.0
perturb,protein_14,0.9935840986286333,5241.7158203125,67.93049621582031,0.0,1.0,0.0,73.92524719238281,83.0530014038086,73.41725158691406,71.91899871826172,78.80049896240234,35.76974868774414,62.584251403808594,75.69650268554688,3.0,0.0,0.0
perturb,protein_15,0.9935840986286333,5262.0078125,71.00924682617188,0.0,1.0,0.0,72.5572509765625,84.06024932861328,74.2072525024414,71.79750061035156,80.22125244140625,36.03725051879883,61.13600158691406,75.95950317382812,2.0,0.0,0.0
perturb,protein_16,0.9935840986286333,5296.0849609375,106.36150360107422,0.0,1.0,0.0,105.69950103759766,116.57424926757812,112.33799743652344,105.18350219726562,112.40274810791016,60.74300003051758,91.24949645996094,105.87850189208984,3.0,0.0,0.0
perturb,protein_17,0.9935840986286333,5229.2880859375,63.869998931884766,0.0,1.0,0.0,65.36399841308594,78.06575012207031,70.69850158691406,65.1052474975586,74.45674896240234,33.75749969482422,56.78424835205078,70.6207504272461,2.0,0.0,0.0
perturb,protein_18,0.9935840986286333,5230.69482421875,65.8862533569336,0.0,1.0,0.0,67.24175262451172,79.81625366210938,71.60299682617188,67.17250061035156,75.92224884033203,33.7859992980957,57.90625,72.03350067138672,2.0,0.0,0.0
perturb,protein_19,0.9935840986286333,5206.23681640625,53.66975021362305,0.0,1.0,0.0,55.50975036621094,65.24150085449219,58.44124984741211,55.01374816894531,62.31325149536133,23.376249313354492,45.12675094604492,59.15399932861328,1.0,0.0,0.0
perturb,protein_20,0.9935840986286333,5285.91162109375,67.06400299072266,0.0,1.0,0.0,68.81275177001953,79.7979965209961,72.2979965209961,68.24725341796875,75.54299926757812,35.52299880981445,58.486000061035156,73.27400207519531,2.0,0.0,0.0
perturb,protein_21,0.9935840986286333,5249.61279296875,68.55149841308594,0.0,1.0,0.0,69.52474975585938,81.697998046875,72.87799835205078,69.77324676513672,77.09525299072266,37.709999084472656,59.42300033569336,74.09674835205078,2.0,0.0,0.0
perturb,protein_22,0.9935840986286333,5346.22119140625,69.51399993896484,0.0,1.0,0.0,69.07150268554688,78.32475280761719,74.80975341796875,70.80249786376953,74.32975006103516,26.163249969482422,53.83150100708008,70.322998046875,2.0,0.0,0.0
perturb,protein_23,0.9935840986286333,5093.77001953125,76.92549896240234,0.0,1.0,0.0,78.13200378417969,85.61575317382812,76.91500091552734,77.3082504272461,84.07675170898438,45.511749267578125,67.31075286865234,79.33274841308594,3.0,0.0,0.0
perturb,protein_24,0.9935840986286333,5272.22802734375,86.94200134277344,0.0,1.0,0.0,86.75174713134766,99.2614974975586,92.8489990234375,87.6927490234375,96.84375,52.73875045776367,77.04199981689453,91.27674865722656,3.0,0.0,0.0
perturb,protein_25,0.9935840986286333,5301.1728515625,81.09649658203125,0.0,1.0,0.0,82.63224792480469,94.21299743652344,86.68824768066406,82.70525360107422,90.51625061035156,48.549251556396484,72.60375213623047,87.08149719238281,3.0,0.0,0.0
perturb,protein_26,0.9935840986286333,5239.77880859375,70.00225067138672,0.0,1.0,0.0,70.83699798583984,82.2437515258789,73.89974975585938,70.68599700927734,78.04750061035156,38.002750396728516,61.0577507019043,74.9802474975586,2.0,0.0,0.0
perturb,protein_27,0.9935840986286333,5233.724609375,69.9177474975586,0.0,1.0,0.0,71.18975067138672,83.19249725341797,75.07749938964844,71.65374755859375,79.35724639892578,38.941749572753906,61.830501556396484,76.59925079345703,2.0,0.0,0.0
perturb,protein_28,0.9935840986286333,5182.01611328125,57.68899917602539,0.0,1.0,0.0,59.097251892089844,67.91850280761719,62.1150016784668,58.43349838256836,65.04499816894531,25.532499313354492,48.454750061035156,62.74924850463867,1.0,0.0,0.0
perturb,protein_29,0.9935840986286333,5247.80419921875,63.8072509765625,0.0,1.0,0.0,65.81400299072266,76.62799835205078,70.2717514038086,65.22074890136719,72.9697494506836,32.74325180053711,55.807498931884766,70.0112533569336,2.0,0.0,0.0
perturb,protein_30,0.9935840986286333,5247.48388671875,75.7699966430664,0.0,1.0,0.0,77.0009994506836,87.97624969482422,79.88749694824219,76.57050323486328,84.91649627685547,43.071250915527344,66.47875213623047,81.02925109863281,3.0,0.0,0.0
perturb,protein_31,0.9935840986286333,5313.634765625,87.51875305175781,0.0,1.0,0.0,90.00775146484375,101.41124725341797,94.70999908447266,91.5145034790039,99.72474670410156,55.59225082397461,78.78675079345703,96.333251953125,3.0,0.0,0.0
perturb,protein_32,0.9935840986286333,5296.15087890625,54.59225082397461,0.0,1.0,0.0,56.751251220703125,67.01024627685547,60.967750549316406,56.127498626708984,62.95624923706055,26.006000518798828,47.063751220703125,60.3380012512207,1.0,0.0,0.0
perturb,protein_33,0.9935840986286333,5250.91943359375,52.58974838256836,0.0,1.0,0.0,55.19725036621094,66.77674865722656,60.02399826049805,55.51599884033203,63.03099822998047,24.90774917602539,45.93075180053711,59.63275146484375,1.0,0.0,0.0
perturb,protein_34,0.9935840986286333,5286.8935546875,59.52949905395508,0.0,1.0,0.0,61.2760009765625,73.04624938964844,65.23999786376953,62.35449981689453,69.04125213623047,29.007749557495117,51.608001708984375,66.03099822998047,1.0,0.0,0.0
perturb,protein_35,0.9935840986286333,5301.39794921875,65.72274780273438,0.0,1.0,0.0,66.97149658203125,75.36650085449219,68.50550079345703,65.489501953125,76.26399993896484,34.25,57.04275131225586,70.22074890136719,2.0,0.0,0.0
perturb,protein_36,0.9935840986286333,5246.27734375,84.79724884033203,0.0,1.0,0.0,86.10375213623047,97.6727523803711,92.04550170898438,86.86499786376953,93.60150146484375,53.983001708984375,77.21724700927734,90.02825164794922,3.0,0.0,0.0
perturb,protein_37,0.9935840986286333,5247.283203125,56.315250396728516,0.0,1.0,0.0,57.69475173950195,69.47699737548828,61.9995002746582,57.6662483215332,65.6415023803711,25.532249450683594,48.39324951171875,61.871498107910156,1.0,0.0,0.0
perturb,protein_38,0.9935840986286333,5292.57177734375,56.42250061035156,0.0,1.0,0.0,57.877750396728516,69.5,63.11899948120117,58.1870002746582,65.78199768066406,27.469249725341797,48.3797492980957,62.675498962402344,1.0,0.0,0.0
perturb,protein_39,0.9935840986286333,5245.751953125,56.05099868774414,0.0,1.0,0.0,57.26850128173828,68.13275146484375,60.787498474121094,57.283748626708984,64.94474792480469,24.832250595092773,47.42124938964844,61.58024978637695,1.0,0.0,0.0
perturb,protein_40,0.9935840986286333,5263.90234375,64.31649780273438,0.0,1.0,0.0,65.44599914550781,76.88324737548828,68.89424896240234,65.50025177001953,72.71649932861328,32.86600112915039,55.72249984741211,69.43724822998047,2.0,0.0,0.0
perturb,protein_41,0.9935840986286333,5232.26513671875,62.713748931884766,0.0,1.0,0.0,64.39649963378906,76.61000061035156,69.37975311279297,65.43775177001953,72.4800033569336,32.48725128173828,54.833499908447266,69.70349884033203,2.0,0.0,0.0
perturb,protein_42,0.9935840986286333,5148.00927734375,53.72574996948242,0.0,1.0,0.0,53.88574981689453,65.0667495727539,57.48350143432617,54.597251892089844,61.36149978637695,22.149499893188477,44.82350158691406,58.25600051879883,1.0,0.0,0.0
perturb,protein_43,0.9935840986286333,5261.36376953125,80.94300079345703,0.0,1.0,0.0,81.55899810791016,88.04949951171875,84.0114974975586,78.80425262451172,88.32050323486328,46.08974838256836,69.92749786376953,88.34024810791016,3.0,0.0,0.0
perturb,protein_44,0.9935840986286333,5143.20263671875,56.73175048828125,0.0,1.0,0.0,59.220001220703125,67.3740005493164,59.05175018310547,58.22174835205078,64.00250244140625,25.756500244140625,48.33625030517578,60.88650131225586,1.0,0.0,0.0
perturb,protein_45,0.9935840986286333,5160.0029296875,69.6717529296875,0.0,1.0,0.0,69.0512466430664,83.20774841308594,77.05750274658203,70.7405014038086,79.3917465209961,39.202999114990234,61.85974884033203,76.34850311279297,2.0,0.0,0.0
