day,morphology,oxygen_levels,glucose_levels,morphology_death,glucose_death,oxygen_death,H2O_levels,NH4Cl_levels,KH2PO4_levels,MgSO4_levels,NaCl_levels,CaCl2_levels,FeSO4_levels,ZnCl2_levels,nutrients_death,toxin_in_blood,toxin_death
0,0.9734171097143676,4173.205078125,7.111111164093018,0.0,0.0,0.0,24.203702926635742,93.05290985107422,60.30687713623047,22.402116775512695,60.87565994262695,31.8306884765625,26.05290985107422,73.7486801147461,0.0,0.0,0.0
1,0.968871595330268,4284.7802734375,7.005290985107422,0.0,0.0,0.0,24.105819702148438,94.71560668945312,62.215606689453125,22.129629135131836,61.596561431884766,36.769840240478516,26.03174591064453,74.57804107666016,0.0,0.0,0.0
2,0.9632533072018798,4365.46826171875,7.148148059844971,0.0,0.0,0.0,24.601852416992188,93.53571319580078,60.94973373413086,22.541006088256836,60.99603271484375,39.19444274902344,26.091270446777344,74.54629516601562,0.0,0.0,0.0
3,0.9717624147999164,4450.0107421875,7.042327880859375,0.0,0.0,0.0,24.703702926635742,95.13095092773438,62.69709014892578,22.503969192504883,62.230159759521484,42.71957778930664,25.817461013793945,75.11508178710938,0.0,0.0,0.0
4,0.9727626459139238,4533.85693359375,7.10449743270874,0.0,0.0,0.0,24.94709014892578,93.8968276977539,61.6283073425293,22.285715103149414,62.03174591064453,44.092594146728516,25.88359832763672,74.6917953491211,0.0,0.0,0.0
5,0.9692532942894245,4592.61376953125,7.138888835906982,0.0,0.0,0.0,24.992063522338867,95.54232788085938,63.10317611694336,22.36111068725586,62.7896842956543,46.404762268066406,25.568782806396484,75.12963104248047,0.0,0.0,0.0
6,0.9707602339176555,4665.4072265625,7.230158805847168,0.0,0.0,0.0,25.063491821289062,94.54100799560547,62.19709014892578,22.076719284057617,62.64682388305664,46.953704833984375,25.514551162719727,74.6693115234375,0.0,0.0,0.0
7,0.9707602339176555,4742.18896484375,7.3240742683410645,0.0,0.0,0.0,25.00264549255371,96.09920501708984,63.337303161621094,22.2738094329834,63.47089767456055,48.179893493652344,25.1931209564209,75.04762268066406,0.0,0.0,0.0
8,0.988988988988494,4828.21142578125,7.304232597351074,0.0,0.0,0.0,24.904762268066406,95.4047622680664,62.80952453613281,21.961639404296875,63.32539749145508,48.27248764038086,25.160053253173828,74.7645492553711,0.0,0.0,0.0
9,0.9915127309031495,4528.7158203125,6.416666507720947,0.0,0.0,0.0,24.559524536132812,91.18650817871094,60.324073791503906,20.406084060668945,60.52645492553711,48.171958923339844,23.759260177612305,70.0224838256836,0.0,0.0,0.0
10,0.9945082376430382,4746.462890625,6.806878089904785,0.0,0.0,0.0,24.428571701049805,92.20370483398438,61.564815521240234,21.079364776611328,60.939151763916016,47.514549255371094,23.952381134033203,72.01851654052734,0.0,0.0,0.0
11,0.9990059642142152,4764.40234375,6.517195701599121,0.0,0.0,0.0,23.8068790435791,91.3373031616211,60.595237731933594,20.30290985107422,60.514549255371094,45.707672119140625,23.248676300048828,69.91666412353516,0.0,0.0,0.0
12,0.9965122072740425,4863.51318359375,6.547618865966797,0.0,0.0,0.0,23.420635223388672,91.0013198852539,61.0476188659668,20.550264358520508,60.238094329833984,44.189151763916016,22.936508178710938,70.60713958740234,0.0,0.0,0.0
13,0.9919919919914955,4934.5751953125,6.427248477935791,0.0,0.0,0.0,23.206348419189453,91.26058197021484,60.63359832763672,19.8955020904541,60.30952453613281,43.9603157043457,22.41666603088379,69.12698364257812,0.0,0.0,0.0
14,0.9940059940054975,4994.02490234375,6.443121910095215,0.0,0.0,0.0,23.793651580810547,91.06217193603516,61.49470901489258,19.759260177612305,60.369049072265625,42.93650817871094,22.244709014892578,69.7513198852539,0.0,0.0,0.0
15,0.9960119641071804,5029.68408203125,6.288359642028809,0.0,0.0,0.0,23.349206924438477,90.54629516601562,61.39682388305664,19.874338150024414,60.31745910644531,41.310848236083984,21.243385314941406,68.72222137451172,0.0,0.0,0.0
16,0.9965122072740425,5121.02001953125,6.318783283233643,0.0,0.0,0.0,23.69709014892578,90.29232788085938,62.03174591064453,19.69444465637207,60.39814758300781,40.71428680419922,21.126983642578125,69.0952377319336,0.0,0.0,0.0
17,0.9909819639273593,5188.40087890625,6.207672119140625,0.0,0.0,0.0,23.338624954223633,90.53174591064453,62.43783187866211,19.54894256591797,60.64814758300781,39.619049072265625,20.597883224487305,68.76190185546875,0.0,0.0,0.0
18,0.9985082048727009,5292.3994140625,6.216931343078613,0.0,0.0,0.0,23.61375617980957,90.28968048095703,63.060848236083984,19.595237731933594,60.61640167236328,38.65211486816406,20.251323699951172,68.79629516601562,0.0,0.0,0.0
19,0.9980099502482597,5341.64697265625,6.10449743270874,0.0,0.0,0.0,23.181217193603516,90.21560668945312,62.56349182128906,19.326719284057617,60.78042221069336,37.12434005737305,19.7261905670166,68.11243438720703,0.0,0.0,0.0
20,0.988448016071829,5432.32958984375,6.182539463043213,0.0,0.0,0.0,22.996030807495117,89.85053253173828,62.837303161621094,19.240739822387695,60.619049072265625,36.16534423828125,18.998676300048828,67.74735260009766,0.0,0.0,0.0
21,0.9929999999995035,5515.73681640625,6.017195701599121,0.0,0.0,0.0,22.88756561279297,89.88095092773438,63.36772537231445,19.239418029785156,61.30026626586914,36.93254089355469,18.851852416992188,67.94709014892578,0.0,0.0,0.0
22,0.9980099502482597,5545.31103515625,6.1137566566467285,0.0,0.0,0.0,22.603174209594727,89.15079498291016,62.85978698730469,19.096561431884766,60.816139221191406,34.560848236083984,18.321428298950195,67.588623046875,0.0,0.0,0.0
23,0.999007936507441,5628.23291015625,6.112433910369873,0.0,0.0,0.0,22.335979461669922,89.8082046508789,62.91005325317383,19.02777862548828,61.38492202758789,34.900794982910156,18.199735641479492,67.69312286376953,0.0,0.0,0.0
24,0.9970149253726384,5712.5078125,6.111111164093018,0.0,0.0,0.0,22.2738094329834,89.47354125976562,63.01852035522461,18.843915939331055,61.324073791503906,33.56745910644531,17.648147583007812,67.4417953491211,0.0,0.0,0.0
25,0.9940119760474082,5789.85693359375,6.123015880584717,0.0,0.0,0.0,21.985448837280273,89.90079498291016,63.35185241699219,19.014551162719727,61.76852035522461,32.927249908447266,17.91534423828125,68.21031951904297,0.0,0.0,0.0
26,0.9985082048727009,5854.39794921875,6.097883701324463,0.0,0.0,0.0,21.829364776611328,89.18650817871094,63.14814758300781,18.619047164916992,61.66005325317383,31.3306884765625,17.144180297851562,67.59391784667969,0.0,0.0,0.0
27,0.9975111996012954,5922.08203125,6.0714287757873535,0.0,0.0,0.0,21.481481552124023,89.14153289794922,63.37565994262695,18.841270446777344,61.53042221069336,30.874338150024414,17.457672119140625,68.29629516601562,0.0,0.0,0.0
28,0.9919919919914955,5981.54248046875,6.101851940155029,0.0,0.0,0.0,21.312170028686523,88.20105743408203,62.645503997802734,18.44179916381836,61.08597946166992,28.39021110534668,16.239418029785156,67.65079498291016,0.0,0.0,0.0
29,0.991487230845773,6031.91796875,6.048941612243652,0.0,0.0,0.0,20.77910041809082,88.28439331054688,62.66402053833008,18.36640167236328,61.060848236083984,27.906084060668945,16.190475463867188,68.06349182128906,0.0,0.0,0.0
30,0.9975235264977724,6082.7421875,5.927248477935791,0.0,0.0,0.0,20.85714340209961,87.20237731933594,61.05952453613281,18.068782806396484,60.61640167236328,27.219575881958008,15.420635223388672,67.02116394042969,0.0,0.0,0.0
31,0.9970297029698034,6145.705078125,5.952381134033203,0.0,0.0,0.0,20.400793075561523,87.19841003417969,60.6362419128418,18.130952835083008,60.2169303894043,25.22222137451172,15.52910041809082,67.63756561279297,0.0,0.0,0.0
32,0.9889999999995055,6207.15234375,5.94444465637207,0.0,0.0,0.0,20.349206924438477,86.17460632324219,59.869049072265625,17.95105743408203,60.19312286376953,24.211639404296875,14.752645492553711,67.29894256591797,0.0,0.0,0.0
33,0.9894947473731919,6266.62158203125,6.052909851074219,0.0,0.0,0.0,20.11111068725586,85.338623046875,59.5,18.066137313842773,59.99867630004883,23.404762268066406,14.575396537780762,66.80158996582031,0.0,0.0,0.0
34,0.997020854021352,6316.8466796875,5.986772537231445,0.0,0.0,0.0,19.920635223388672,85.17857360839844,59.06216812133789,17.829364776611328,60.15211486816406,22.716930389404297,14.236772537231445,67.00529479980469,0.0,0.0,0.0
35,0.995551161640635,6383.66015625,5.915343761444092,0.0,0.0,0.0,19.600528717041016,84.3082046508789,57.44973373413086,17.88624382019043,59.75925827026367,22.064815521240234,13.772486686706543,66.59127044677734,0.0,0.0,0.0
36,0.9880358923225384,6422.01708984375,5.939153671264648,0.0,0.0,0.0,19.507936477661133,83.93782806396484,56.703704833984375,17.707672119140625,59.497352600097656,20.92195701599121,13.443121910095215,66.48280334472656,0.0,0.0,0.0
37,0.991008991008496,6471.0,5.900793552398682,0.0,0.0,0.0,19.242063522338867,83.42724609375,54.929893493652344,17.91534423828125,59.506614685058594,20.115079879760742,13.010581970214844,66.19841003417969,0.0,0.0,0.0
38,0.999007936507441,6549.40869140625,5.920634746551514,0.0,0.0,0.0,19.047618865966797,83.47883605957031,55.002647399902344,17.55158805847168,59.49074172973633,20.091270446777344,12.710317611694336,66.30158996582031,0.0,0.0,0.0
39,0.9945191828594945,6578.8095703125,5.919312000274658,0.0,0.0,0.0,18.80555534362793,82.60978698730469,54.05158615112305,17.731481552124023,58.96296310424805,19.41269874572754,12.285714149475098,66.20899200439453,0.0,0.0,0.0
40,0.9915042478755665,6642.72900390625,5.890211582183838,0.0,0.0,0.0,18.875661849975586,82.36640167236328,53.55820083618164,17.46825408935547,59.252647399902344,19.52777862548828,11.911375999450684,66.48809814453125,0.0,0.0,0.0
41,0.9965122072740425,6690.49072265625,5.851851940155029,0.0,0.0,0.0,18.6931209564209,81.82539367675781,52.7976188659668,17.47222137451172,58.94312286376953,19.629629135131836,11.502645492553711,65.9126968383789,0.0,0.0,0.0
42,0.9965122072740425,6692.58056640625,5.757936477661133,0.0,0.0,0.0,18.55290985107422,81.61111450195312,52.41402053833008,17.246030807495117,58.97089767456055,19.5806884765625,11.112433433532715,66.19444274902344,0.0,0.0,0.0
43,0.9940059940054975,6740.84521484375,6.2711639404296875,0.0,0.0,0.0,35.742061614990234,92.87301635742188,64.72090148925781,22.123016357421875,78.78042602539062,35.65608596801758,15.522486686706543,69.59920501708984,0.0,0.0,0.0
44,0.9970119521907386,6813.1640625,5.773809432983398,0.0,0.0,0.0,18.70105743408203,83.06878662109375,53.215606689453125,17.396825790405273,61.02645492553711,22.648147583007812,10.976190567016602,67.15211486816406,0.0,0.0,0.0
45,0.9950099800394236,6881.68798828125,6.357142925262451,0.0,0.0,0.0,30.44841194152832,94.18254089355469,61.94973373413086,22.157407760620117,74.09920501708984,32.02381134033203,15.30820083618164,71.31481170654297,0.0,0.0,0.0
46,0.9975111996012954,6927.48828125,5.947090148925781,0.0,0.0,0.0,19.63624382019043,84.73941802978516,55.24603271484375,18.212963104248047,62.404762268066406,24.927248001098633,11.025132179260254,68.69047546386719,0.0,0.0,0.0
47,0.9990059642142152,6904.0859375,6.314815044403076,0.0,0.0,0.0,26.1455020904541,93.0740737915039,59.431217193603516,21.914020538330078,69.1031723022461,29.203702926635742,14.534391403198242,71.79497528076172,0.0,0.0,0.0
48,0.9919919919914955,7019.7421875,5.936507701873779,0.0,0.0,0.0,19.19179916381836,85.49470520019531,55.465606689453125,18.681217193603516,62.907405853271484,24.935184478759766,11.112433433532715,69.11772155761719,0.0,0.0,0.0
49,0.9950099800394236,7054.84375,6.357142925262451,0.0,0.0,0.0,23.099206924438477,91.82539367675781,57.14153289794922,21.585979461669922,65.9986801147461,28.173280715942383,13.937830924987793,72.17724609375,0.0,0.0,0.0
50,0.9999999999995035,7127.7685546875,5.871693134307861,0.0,0.0,0.0,18.3306884765625,85.73015594482422,54.59391403198242,18.949735641479492,63.29497528076172,25.61111068725586,11.08465576171875,69.80422973632812,0.0,0.0,0.0
51,0.9970119521907386,7169.208984375,6.314815044403076,0.0,0.0,0.0,20.743385314941406,90.01058197021484,54.96825408935547,21.231481552124023,64.39286041259766,28.927248001098633,12.97089958190918,72.10053253173828,0.0,0.0,0.0
52,0.9970119521907386,7240.6796875,5.896825313568115,0.0,0.0,0.0,17.740739822387695,85.79629516601562,53.171958923339844,19.095237731933594,63.17327880859375,27.984127044677734,10.871692657470703,70.04894256591797,0.0,0.0,0.0
53,0.9975111996012954,7283.5478515625,6.215608596801758,0.0,0.0,0.0,18.920635223388672,88.10713958740234,53.154762268066406,20.355819702148438,63.997352600097656,30.624338150024414,12.202381134033203,71.23809814453125,0.0,0.0,0.0
54,0.9985082048727009,7275.220703125,5.818783283233643,0.0,0.0,0.0,17.095237731933594,84.94841003417969,51.73677062988281,18.77910041809082,63.52116394042969,31.068782806396484,10.539682388305664,69.8465576171875,0.0,0.0,0.0
55,0.9940059940054975,7362.74853515625,5.900793552398682,0.0,0.0,0.0,17.929893493652344,86.07142639160156,50.89814758300781,19.514551162719727,63.997352600097656,32.568782806396484,11.620369911193848,70.97222137451172,0.0,0.0,0.0
56,0.9929999999995035,7357.86376953125,5.838624477386475,0.0,0.0,0.0,16.705026626586914,84.9047622680664,50.44576644897461,18.58333396911621,63.904762268066406,33.88359832763672,10.328042030334473,70.29629516601562,0.0,0.0,0.0
57,0.9965122072740425,7440.02490234375,5.933862209320068,0.0,0.0,0.0,17.19576644897461,85.70370483398438,50.2976188659668,19.05820083618164,64.73412322998047,34.62963104248047,11.169312477111816,71.05687713623047,0.0,0.0,0.0
58,0.9980099502482597,7437.529296875,5.82539701461792,0.0,0.0,0.0,16.350528717041016,84.31349182128906,50.03703689575195,18.347883224487305,64.34259033203125,35.96428680419922,10.129630088806152,70.62433624267578,0.0,0.0,0.0
59,0.9940059940054975,7478.9921875,6.267195701599121,0.0,0.0,0.0,16.61243438720703,84.72486877441406,49.67856979370117,18.63756561279297,64.53836059570312,36.02116394042969,10.816137313842773,71.20899200439453,0.0,0.0,0.0
60,0.9894631209227348,7475.91650390625,5.888888835906982,0.0,0.0,0.0,16.08730125427246,84.03571319580078,49.8862419128418,18.047618865966797,64.23941802978516,36.92327880859375,10.109787940979004,71.01984405517578,0.0,0.0,0.0
61,0.9874308697833145,7532.51611328125,6.4285712242126465,0.0,0.0,0.0,25.757936477661133,84.98280334472656,56.87565994262695,19.64285659790039,67.67195892333984,37.74867630004883,13.751322746276855,72.35185241699219,0.0,0.0,0.0
62,0.9985082048727009,7534.62939453125,8.658730506896973,0.0,0.0,0.0,22.121692657470703,84.588623046875,57.4589958190918,18.46825408935547,71.84391784667969,38.83465576171875,22.506614685058594,72.01851654052734,0.0,0.0,0.0
63,0.999007936507441,7588.17041015625,7.064815044403076,0.0,0.0,0.0,32.592594146728516,85.23809814453125,59.36243438720703,20.547618865966797,72.22486877441406,39.03042221069336,18.714284896850586,73.57275390625,0.0,0.0,0.0
64,0.996015936254484,7635.376953125,9.187830924987793,0.0,0.0,0.0,23.287036895751953,85.79100799560547,61.6362419128418,19.125661849975586,74.53704071044922,39.55820083618164,27.969575881958008,73.65211486816406,0.0,0.0,0.0
65,0.993006993006497,7732.7841796875,8.224867820739746,0.0,0.0,0.0,29.89021110534668,86.3293685913086,61.37036895751953,20.312170028686523,74.51587677001953,39.98147964477539,21.324073791503906,75.21428680419922,0.0,0.0,0.0
66,0.996015936254484,7619.44580078125,9.362433433532715,0.0,0.0,0.0,22.72089958190918,87.1626968383789,63.49867630004883,19.18915367126465,77.03836059570312,42.6283073425293,28.880952835083008,75.01190185546875,0.0,0.0,0.0
67,0.995551161640635,7834.34521484375,8.035714149475098,0.0,0.0,0.0,26.714284896850586,87.59788513183594,63.02116394042969,19.91534423828125,76.08333587646484,42.149471282958984,22.7261905670166,77.16534423828125,0.0,0.0,0.0
68,0.9915548931937449,7823.111328125,7.580687999725342,0.0,0.0,0.0,20.574073791503906,88.14550018310547,63.935184478759766,18.91666603088379,77.41666412353516,43.8862419128418,26.903438568115234,76.57010650634766,0.0,0.0,0.0
69,0.9945300845345626,7851.2021484375,7.617724895477295,0.0,0.0,0.0,22.482803344726562,88.47222137451172,63.677249908447266,19.44841194152832,76.91402435302734,45.421958923339844,22.541006088256836,77.8465576171875,0.0,0.0,0.0
70,0.9980139026807359,7936.8916015625,7.157407283782959,0.0,0.0,0.0,19.591270446777344,88.72090148925781,64.1693115234375,18.6693115234375,78.42724609375,47.7896842956543,24.690475463867188,77.7566146850586,0.0,0.0,0.0
71,0.9980139026807359,7944.291015625,7.218254089355469,0.0,0.0,0.0,20.038360595703125,89.60185241699219,64.338623046875,19.1693115234375,78.11375427246094,51.37963104248047,22.009260177612305,78.78836059570312,0.0,0.0,0.0
