sample_id,assay,model,replicate,sample_age
cancer_r0_37bd57f01967,Bulk transcriptomics,cancer,0,20
cancer_r1_37bd57f01967,Bulk transcriptomics,cancer,1,20
cancer_r2_37bd57f01967,Bulk transcriptomics,cancer,2,20
