run_id,sample_id,assay,model,replicate,seed,study_ran_for_days,death_occurred_on_day,death_measurement,timecourse_filename,timecourse_relpath,timecourse_file_id,timecourse_url
5f20de5f90ed487ab716aa1d035d19f8,healthy_r0_5f20de5f90ed,Characterization experiment,healthy,0,1,320,274,nutrients_death,healthy_r0_5f20de5f90ed_timecourse.csv,replicates/healthy_r0_5f20de5f90ed_timecourse.csv,54d3ea18b292,/api/omics/file?run_id=5f20de5f90ed487ab716aa1d035d19f8&name=replicates/healthy_r0_5f20de5f90ed_timecourse.csv
5f20de5f90ed487ab716aa1d035d19f8,healthy_r1_5f20de5f90ed,Characterization experiment,healthy,1,98,320,264,nutrients_death,healthy_r1_5f20de5f90ed_timecourse.csv,replicates/healthy_r1_5f20de5f90ed_timecourse.csv,6faa2d2ddb86,/api/omics/file?run_id=5f20de5f90ed487ab716aa1d035d19f8&name=replicates/healthy_r1_5f20de5f90ed_timecourse.csv
5f20de5f90ed487ab716aa1d035d19f8,healthy_r2_5f20de5f90ed,Characterization experiment,healthy,2,195,320,249,nutrients_death,healthy_r2_5f20de5f90ed_timecourse.csv,replicates/healthy_r2_5f20de5f90ed_timecourse.csv,b8faa23c2ebc,/api/omics/file?run_id=5f20de5f90ed487ab716aa1d035d19f8&name=replicates/healthy_r2_5f20de5f90ed_timecourse.csv
