day,morphology,oxygen_levels,glucose_levels,morphology_death,glucose_death,oxygen_death,H2O_levels,NH4Cl_levels,KH2PO4_levels,MgSO4_levels,NaCl_levels,CaCl2_levels,FeSO4_levels,ZnCl2_levels,nutrients_death,toxin_in_blood,toxin_death
0,0.9729468599029116,4173.31103515625,7.111111164093018,0.0,0.0,0.0,24.203702926635742,93.05290985107422,60.31349182128906,22.404762268066406,60.87963104248047,31.835979461669922,26.050264358520508,73.75,0.0,0.0,0.0
1,0.9678988326843542,4286.388671875,7.062169075012207,0.0,0.0,0.0,24.1044979095459,94.70502471923828,62.20502471923828,22.148147583007812,61.66798782348633,36.76322937011719,26.035715103149414,74.56217193603516,0.0,0.0,0.0
2,0.9627815866792543,4361.0751953125,7.02910041809082,0.0,0.0,0.0,24.490739822387695,93.55555725097656,61.179893493652344,22.5568790435791,61.019840240478516,39.20105743408203,26.033069610595703,74.48148345947266,0.0,0.0,0.0
3,0.9717898832680099,4446.70751953125,7.005290985107422,0.0,0.0,0.0,24.6693115234375,94.41534423828125,61.899471282958984,22.27645492553711,62.126983642578125,42.71296310424805,25.73015785217285,74.74073791503906,0.0,0.0,0.0
4,0.9732620320850883,4530.89697265625,6.939153671264648,0.0,0.0,0.0,24.847883224487305,93.24073791503906,59.869049072265625,21.603174209594727,61.78571319580078,44.11640167236328,25.72751235961914,73.60449981689453,0.0,0.0,0.0
5,0.9707602339176555,4591.57421875,6.996031761169434,0.0,0.0,0.0,24.928571701049805,94.86640167236328,61.904762268066406,21.998676300048828,62.79894256591797,46.44841384887695,25.453702926635742,74.2513198852539,0.0,0.0,0.0
6,0.9722627737221546,4665.04345703125,7.0740742683410645,0.0,0.0,0.0,24.981481552124023,94.24073791503906,61.30952453613281,21.705026626586914,62.7089958190918,46.98280334472656,25.436508178710938,74.088623046875,0.0,0.0,0.0
7,0.9702584105309751,4745.47998046875,7.210317611694336,0.0,0.0,0.0,24.92195701599121,95.56481170654297,62.47354507446289,21.89285659790039,63.47222137451172,48.203704833984375,25.13888931274414,74.50396728515625,0.0,0.0,0.0
8,0.9884942471230673,4830.25146484375,7.232804298400879,0.0,0.0,0.0,24.85978889465332,95.12830352783203,62.1216926574707,21.656084060668945,63.4523811340332,48.316139221191406,25.070106506347656,74.36904907226562,0.0,0.0,0.0
9,0.9935291189641645,4547.60693359375,6.402116298675537,0.0,0.0,0.0,24.699735641479492,91.22618865966797,60.94973373413086,20.063491821289062,60.86111068725586,48.310848236083984,23.69444465637207,70.76719665527344,0.0,0.0,0.0
10,0.9924962481235655,4750.98681640625,6.776454925537109,0.0,0.0,0.0,24.69709014892578,91.98941802978516,61.6216926574707,20.60846519470215,61.19179916381836,47.69047546386719,23.989418029785156,71.70635223388672,0.0,0.0,0.0
11,0.9990059642142152,4783.8662109375,6.583333492279053,0.0,0.0,0.0,24.428571701049805,91.46957397460938,60.3783073425293,20.096561431884766,61.074073791503906,45.80290985107422,23.343915939331055,69.55422973632812,0.0,0.0,0.0
12,0.9995032290109293,4893.39794921875,6.752645492553711,0.0,0.0,0.0,24.153438568115234,91.02645874023438,61.2896842956543,20.268518447875977,60.985450744628906,46.25529098510742,23.240739822387695,70.7724838256836,0.0,0.0,0.0
13,0.9950099800394236,4939.54248046875,6.482804298400879,0.0,0.0,0.0,24.0238094329834,91.1547622680664,60.94312286376953,19.956348419189453,61.1362419128418,44.69444274902344,22.731481552124023,69.33333587646484,0.0,0.0,0.0
14,0.9940059940054975,5030.31591796875,6.597883701324463,0.0,0.0,0.0,24.420635223388672,91.06217193603516,61.735450744628906,20.043651580810547,61.296295166015625,44.72751235961914,22.732803344726562,70.12169647216797,0.0,0.0,0.0
15,0.9940059940054975,5064.0302734375,6.414021015167236,0.0,0.0,0.0,24.093915939331055,90.97090148925781,61.64285659790039,19.743385314941406,61.408729553222656,43.32672119140625,22.160053253173828,68.76190185546875,0.0,0.0,0.0
16,0.9965122072740425,5162.02099609375,6.365079402923584,0.0,0.0,0.0,24.064815521240234,90.97618865966797,62.41666793823242,19.81084632873535,61.70634841918945,42.96428680419922,22.129629135131836,69.51719665527344,0.0,0.0,0.0
17,0.9980099502482597,5227.9326171875,6.243386268615723,0.0,0.0,0.0,24.396825790405273,90.79894256591797,62.407405853271484,19.64021110534668,61.86111068725586,42.61772537231445,21.60846519470215,68.83597564697266,0.0,0.0,0.0
18,0.9929999999995035,5330.15869140625,6.374338626861572,0.0,0.0,0.0,23.882274627685547,90.98280334472656,62.91005325317383,19.682538986206055,62.17327880859375,40.30687713623047,21.5,69.06878662109375,0.0,0.0,0.0
19,0.9995032290109293,5415.16552734375,6.171957492828369,0.0,0.0,0.0,23.77513313293457,90.93915557861328,62.89153289794922,19.406084060668945,62.35581970214844,39.75925827026367,20.898147583007812,68.58597564697266,0.0,0.0,0.0
20,0.9940059940054975,5468.1904296875,6.326719760894775,0.0,0.0,0.0,23.29894256591797,90.02116394042969,62.44047546386719,19.44179916381836,62.1216926574707,38.019840240478516,20.465608596801758,68.18650817871094,0.0,0.0,0.0
21,0.9945082376430382,5552.20361328125,6.1587300300598145,0.0,0.0,0.0,23.89021110534668,90.43915557861328,62.341270446777344,19.124338150024414,62.6283073425293,37.32936477661133,20.11375617980957,67.81084442138672,0.0,0.0,0.0
22,0.9935032483753156,5588.048828125,6.26455020904541,0.0,0.0,0.0,23.202381134033203,89.72354125976562,61.80555725097656,19.003969192504883,62.70502471923828,36.404762268066406,19.91269874572754,66.8082046508789,0.0,0.0,0.0
23,0.9950099800394236,5687.966796875,6.157407283782959,0.0,0.0,0.0,23.177248001098633,89.90740966796875,62.47222137451172,18.894180297851562,63.064815521240234,35.2830696105957,19.6044979095459,67.42460632324219,0.0,0.0,0.0
24,0.9940769990123425,5754.51708984375,6.189153671264648,0.0,0.0,0.0,22.763227462768555,89.99735260009766,61.81216812133789,18.855819702148438,63.149471282958984,33.39418029785156,19.35714340209961,67.08333587646484,0.0,0.0,0.0
25,0.991071428570937,5707.75146484375,6.134920597076416,0.0,0.0,0.0,22.60978889465332,89.4986801147461,59.07672119140625,18.22089958190918,63.06349182128906,32.52513122558594,18.998676300048828,65.91402435302734,0.0,0.0,0.0
26,0.991008991008496,5805.787109375,6.214285850524902,0.0,0.0,0.0,22.373016357421875,89.34788513183594,59.869049072265625,18.205026626586914,62.83465576171875,30.744709014892578,18.871692657470703,66.7579345703125,0.0,0.0,0.0
27,0.9891944990171959,5813.193359375,6.060846328735352,0.0,0.0,0.0,22.11375617980957,88.37036895751953,57.44973373413086,17.813491821289062,62.80290985107422,29.228836059570312,18.255290985107422,65.86375427246094,0.0,0.0,0.0
