run_id,sample_id,assay,model,replicate,seed,study_ran_for_days,death_occurred_on_day,death_measurement,timecourse_filename,timecourse_relpath,timecourse_file_id,timecourse_url
cbad95a9e17e4d6992d4730aefaa941f,healthy_r0_cbad95a9e17e,Characterization experiment,healthy,0,1,300,263,nutrients_death,healthy_r0_cbad95a9e17e_timecourse.csv,replicates/healthy_r0_cbad95a9e17e_timecourse.csv,44e850a39ace,/api/omics/file?run_id=cbad95a9e17e4d6992d4730aefaa941f&name=replicates/healthy_r0_cbad95a9e17e_timecourse.csv
cbad95a9e17e4d6992d4730aefaa941f,healthy_r1_cbad95a9e17e,Characterization experiment,healthy,1,98,300,262,morphology_death,healthy_r1_cbad95a9e17e_timecourse.csv,replicates/healthy_r1_cbad95a9e17e_timecourse.csv,66297621598e,/api/omics/file?run_id=cbad95a9e17e4d6992d4730aefaa941f&name=replicates/healthy_r1_cbad95a9e17e_timecourse.csv
cbad95a9e17e4d6992d4730aefaa941f,healthy_r2_cbad95a9e17e,Characterization experiment,healthy,2,195,300,265,nutrients_death,healthy_r2_cbad95a9e17e_timecourse.csv,replicates/healthy_r2_cbad95a9e17e_timecourse.csv,eafbc091253e,/api/omics/file?run_id=cbad95a9e17e4d6992d4730aefaa941f&name=replicates/healthy_r2_cbad95a9e17e_timecourse.csv
