day,morphology,oxygen_levels,glucose_levels,morphology_death,glucose_death,oxygen_death,H2O_levels,NH4Cl_levels,KH2PO4_levels,MgSO4_levels,NaCl_levels,CaCl2_levels,FeSO4_levels,ZnCl2_levels,nutrients_death,toxin_in_blood,toxin_death
0,0.9743589743585029,4173.15869140625,7.08994722366333,0.0,0.0,0.0,24.211639404296875,93.03836059570312,60.30820083618164,22.38624382019043,60.87963104248047,31.847883224487305,26.064815521240234,73.69312286376953,0.0,0.0,0.0
1,0.9688109161788651,4285.22607421875,6.9788360595703125,0.0,0.0,0.0,24.120370864868164,94.43518829345703,61.36111068725586,22.074073791503906,61.457672119140625,36.6362419128418,25.996030807495117,74.26851654052734,0.0,0.0,0.0
2,0.967237163813708,4365.5859375,7.048941612243652,0.0,0.0,0.0,24.494709014892578,93.1468276977539,60.41666793823242,21.89285659790039,61.29894256591797,39.03703689575195,26.046297073364258,73.98809814453125,0.0,0.0,0.0
3,0.9753026634377844,4444.77099609375,6.982804298400879,0.0,0.0,0.0,24.61243438720703,94.36243438720703,61.72883605957031,22.153438568115234,62.0806884765625,41.497352600097656,25.746030807495117,74.6706314086914,0.0,0.0,0.0
4,0.975278720309755,4517.2841796875,6.939153671264648,0.0,0.0,0.0,24.824073791503906,92.6693115234375,60.989418029785156,21.89285659790039,61.671958923339844,43.816139221191406,25.740739822387695,74.2433853149414,0.0,0.0,0.0
5,0.9712615684359613,4596.10595703125,6.953703880310059,0.0,0.0,0.0,25.02645492553711,94.5793685913086,62.412696838378906,22.48015785217285,62.39814758300781,45.502647399902344,25.455026626586914,74.72883605957031,0.0,0.0,0.0
6,0.9707602339176555,4679.3837890625,6.974867820739746,0.0,0.0,0.0,25.115079879760742,93.51984405517578,61.734127044677734,22.05555534362793,62.08597946166992,46.7976188659668,25.4431209564209,74.42724609375,0.0,0.0,0.0
7,0.9727626459139238,4759.89794921875,7.018518447875977,0.0,0.0,0.0,25.429893493652344,95.12566375732422,62.78571319580078,22.265872955322266,63.162696838378906,47.44709014892578,25.088624954223633,74.93121337890625,0.0,0.0,0.0
8,0.9925112331497791,4836.90087890625,7.042327880859375,0.0,0.0,0.0,25.30820083618164,93.8968276977539,62.145503997802734,21.7738094329834,62.80952453613281,47.895503997802734,25.018518447875977,74.69577026367188,0.0,0.0,0.0
9,0.9965191447036318,4590.8173828125,6.260581970214844,0.0,0.0,0.0,24.373016357421875,90.08995056152344,59.604496002197266,20.074073791503906,59.79894256591797,47.703704833984375,23.657407760620117,69.98941802978516,0.0,0.0,0.0
10,0.991487230845773,4747.75927734375,6.595238208770752,0.0,0.0,0.0,25.26984214782715,91.34127044677734,60.895503997802734,20.624338150024414,60.54365158081055,47.85978698730469,23.849206924438477,71.49470520019531,0.0,0.0,0.0
11,0.9950099800394236,4797.53173828125,6.392857074737549,0.0,0.0,0.0,23.850528717041016,91.12433624267578,60.77116394042969,20.24735450744629,60.373016357421875,47.242061614990234,23.190475463867188,70.20767211914062,0.0,0.0,0.0
12,0.999007936507441,4872.130859375,6.275132179260254,0.0,0.0,0.0,24.746030807495117,91.33333587646484,61.24603271484375,20.320106506347656,60.546295166015625,46.93254089355469,23.10846519470215,70.32672119140625,0.0,0.0,0.0
13,0.9980139026807359,4935.64794921875,6.414021015167236,0.0,0.0,0.0,23.906084060668945,91.39814758300781,61.65608596801758,20.038360595703125,60.933860778808594,46.41666793823242,22.628307342529297,70.19444274902344,0.0,0.0,0.0
14,0.9960119641071804,5039.529296875,6.3637566566467285,0.0,0.0,0.0,24.123016357421875,91.71957397460938,62.11507797241211,20.115079879760742,61.19709014892578,45.85978698730469,22.5568790435791,69.92857360839844,0.0,0.0,0.0
15,0.9929999999995035,5123.1640625,6.460317611694336,0.0,0.0,0.0,23.814815521240234,91.6534423828125,62.6283073425293,19.94444465637207,61.568782806396484,45.162696838378906,22.05158805847168,69.87963104248047,0.0,0.0,0.0
16,0.9894631209227348,5212.80029296875,6.496031761169434,0.0,0.0,0.0,23.60978889465332,91.90211486816406,63.230159759521484,19.882274627685547,61.86243438720703,44.31349182128906,21.853174209594727,69.64286041259766,0.0,0.0,0.0
17,0.9999999999995035,5295.9033203125,6.579365253448486,0.0,0.0,0.0,23.246030807495117,91.9338607788086,63.60714340209961,19.660053253173828,62.19047546386719,43.5330696105957,21.484127044677734,69.6917953491211,0.0,0.0,0.0
