run_id,sample_id,assay,model,replicate,seed,study_ran_for_days,death_occurred_on_day,death_measurement,timecourse_filename,timecourse_relpath,timecourse_file_id,timecourse_url
c937ccf36cfd48cca0d286b699b4288a,healthy_r0_c937ccf36cfd,Characterization experiment,healthy,0,1,220,220,,healthy_r0_c937ccf36cfd_timecourse.csv,replicates/healthy_r0_c937ccf36cfd_timecourse.csv,62e838db76db,/api/omics/file?run_id=c937ccf36cfd48cca0d286b699b4288a&name=replicates/healthy_r0_c937ccf36cfd_timecourse.csv
c937ccf36cfd48cca0d286b699b4288a,healthy_r1_c937ccf36cfd,Characterization experiment,healthy,1,98,220,220,,healthy_r1_c937ccf36cfd_timecourse.csv,replicates/healthy_r1_c937ccf36cfd_timecourse.csv,a83f3c41fbc5,/api/omics/file?run_id=c937ccf36cfd48cca0d286b699b4288a&name=replicates/healthy_r1_c937ccf36cfd_timecourse.csv
c937ccf36cfd48cca0d286b699b4288a,healthy_r2_c937ccf36cfd,Characterization experiment,healthy,2,195,220,220,,healthy_r2_c937ccf36cfd_timecourse.csv,replicates/healthy_r2_c937ccf36cfd_timecourse.csv,ddf39481885f,/api/omics/file?run_id=c937ccf36cfd48cca0d286b699b4288a&name=replicates/healthy_r2_c937ccf36cfd_timecourse.csv
