sample_id,assay,model,replicate,sample_age
healthy_r0_470f2d0aa79c,Bulk metabolomics,healthy,0,30
healthy_r1_470f2d0aa79c,Bulk metabolomics,healthy,1,30
healthy_r2_470f2d0aa79c,Bulk metabolomics,healthy,2,30
healthy_r3_470f2d0aa79c,Bulk metabolomics,healthy,3,30
healthy_r4_470f2d0aa79c,Bulk metabolomics,healthy,4,30
healthy_r5_470f2d0aa79c,Bulk metabolomics,healthy,5,30
