run_id,sample_id,assay,model,replicate,seed,study_ran_for_days,death_occurred_on_day,death_measurement,timecourse_filename,timecourse_relpath,timecourse_file_id,timecourse_url
6184909871804eb5b57811de27d0c5ee,cancer_r0_618490987180,Characterization experiment,cancer,0,1,220,32,morphology_death,cancer_r0_618490987180_timecourse.csv,replicates/cancer_r0_618490987180_timecourse.csv,efc3a8e2007f,/api/omics/file?run_id=6184909871804eb5b57811de27d0c5ee&name=replicates/cancer_r0_618490987180_timecourse.csv
6184909871804eb5b57811de27d0c5ee,cancer_r1_618490987180,Characterization experiment,cancer,1,98,220,35,morphology_death,cancer_r1_618490987180_timecourse.csv,replicates/cancer_r1_618490987180_timecourse.csv,9cb2d4e20faf,/api/omics/file?run_id=6184909871804eb5b57811de27d0c5ee&name=replicates/cancer_r1_618490987180_timecourse.csv
6184909871804eb5b57811de27d0c5ee,cancer_r2_618490987180,Characterization experiment,cancer,2,195,220,29,morphology_death,cancer_r2_618490987180_timecourse.csv,replicates/cancer_r2_618490987180_timecourse.csv,61c1c563edc7,/api/omics/file?run_id=6184909871804eb5b57811de27d0c5ee&name=replicates/cancer_r2_618490987180_timecourse.csv
6184909871804eb5b57811de27d0c5ee,cancer_r3_618490987180,Characterization experiment,cancer,3,292,220,32,morphology_death,cancer_r3_618490987180_timecourse.csv,replicates/cancer_r3_618490987180_timecourse.csv,fd65ae2dd0f3,/api/omics/file?run_id=6184909871804eb5b57811de27d0c5ee&name=replicates/cancer_r3_618490987180_timecourse.csv
6184909871804eb5b57811de27d0c5ee,cancer_r4_618490987180,Characterization experiment,cancer,4,389,220,35,morphology_death,cancer_r4_618490987180_timecourse.csv,replicates/cancer_r4_618490987180_timecourse.csv,4ce10ec85a1c,/api/omics/file?run_id=6184909871804eb5b57811de27d0c5ee&name=replicates/cancer_r4_618490987180_timecourse.csv
6184909871804eb5b57811de27d0c5ee,cancer_r5_618490987180,Characterization experiment,cancer,5,486,220,37,morphology_death,cancer_r5_618490987180_timecourse.csv,replicates/cancer_r5_618490987180_timecourse.csv,5b22686fcab6,/api/omics/file?run_id=6184909871804eb5b57811de27d0c5ee&name=replicates/cancer_r5_618490987180_timecourse.csv
