run_id,sample_id,assay,model,replicate,seed,study_ran_for_days,death_occurred_on_day,death_measurement,timecourse_filename,timecourse_relpath,timecourse_file_id,timecourse_url
f50d55064cbb4c3087a0a592bece0986,cancer_r0_f50d55064cbb,Characterization experiment,cancer,0,1,220,32,morphology_death,cancer_r0_f50d55064cbb_timecourse.csv,replicates/cancer_r0_f50d55064cbb_timecourse.csv,e9290e8cd4b1,/api/omics/file?run_id=f50d55064cbb4c3087a0a592bece0986&name=replicates/cancer_r0_f50d55064cbb_timecourse.csv
f50d55064cbb4c3087a0a592bece0986,cancer_r1_f50d55064cbb,Characterization experiment,cancer,1,98,220,35,morphology_death,cancer_r1_f50d55064cbb_timecourse.csv,replicates/cancer_r1_f50d55064cbb_timecourse.csv,24a8d97f28fc,/api/omics/file?run_id=f50d55064cbb4c3087a0a592bece0986&name=replicates/cancer_r1_f50d55064cbb_timecourse.csv
f50d55064cbb4c3087a0a592bece0986,cancer_r2_f50d55064cbb,Characterization experiment,cancer,2,195,220,35,morphology_death,cancer_r2_f50d55064cbb_timecourse.csv,replicates/cancer_r2_f50d55064cbb_timecourse.csv,141056a7608d,/api/omics/file?run_id=f50d55064cbb4c3087a0a592bece0986&name=replicates/cancer_r2_f50d55064cbb_timecourse.csv
